id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,company
1073720213,Iowa,IA,19,Pottawattamie County,155,Google,,Google,129827.0,-95.80565239909376,41.17554005850446,building,google
1073720214,Iowa,IA,19,Pottawattamie County,155,Google,,Google,132118.0,-95.80449329746104,41.17554283490945,building,google
1073720215,Iowa,IA,19,Pottawattamie County,155,Google,,Google,132254.0,-95.8033895382722,41.175543648575314,building,google
1073720216,Iowa,IA,19,Pottawattamie County,155,Google,,Google,130820.0,-95.80222393205068,41.175547389125526,building,google
1073720217,Iowa,IA,19,Pottawattamie County,155,Google,,Google,129628.0,-95.80111944856117,41.17554529809748,building,google
1073720218,Iowa,IA,19,Pottawattamie County,155,Google,,Google,134444.0,-95.79994803209584,41.17555376295006,building,google
1073720219,Iowa,IA,19,Pottawattamie County,155,Google,,Google,174264.0,-95.80402364214318,41.1726347246986,building,google
1073720220,Iowa,IA,19,Pottawattamie County,155,Google,,Google,174583.0,-95.80252143647044,41.172640078023726,building,google
1073720221,Iowa,IA,19,Pottawattamie County,155,Google,,Google,158241.0,-95.8011477197886,41.17261142832355,building,google
1075278060,Iowa,IA,19,Warren County,181,Microsoft,,Microsoft,242270.0,-93.78699632287524,41.49683039481866,building,microsoft
